PRIORITA,SCORE,TIPO_OPPORTUNITA,TARGET,FASE_PROGETTO,OBIETTIVO_COMMERCIALE,COMUNE,FONTE,TITOLO,PREZZO,PREZZO_PRECEDENTE,RIBASSI,INDIZIO_INSERZIONISTA,STATO,PRIMA_RILEVAZIONE,ULTIMO_CONTROLLO,MOTIVI,PDF_DA_VERIFICARE,URL,CONTATTO_PRONTO,CONTATTI_PUBBLICI,FONTE_CONTATTO,CROSS_MATCH,NOME_INSERZIONISTA,RICERCA_PUBBLICA,VIA_RADAR,INDIRIZZI_ZONA,AZIONE_ZONA,MOTIVO_SCARTO_OPERATIVO
BASSA,40,INDUSTRIALE_LOGISTICA,IMMOBILE,,ACQUISIZIONE CAPANNONE / MAGAZZINO,Avigliana,Trovit,30 capannones in affitto a Avigliana - Trovit,,,0,NON_DETERMINATO,NEW,2026-09-01T23:36:27.690082+00:00,2026-09-01T23:36:27.690084+00:00,nuova rilevazione | industriale logistica,,https://case.trovit.it/affitto-capannone-avigliana,NO,,,0,,ESEGUITA,,,,PAGINA_CATEGORIA_O_RICERCA
BASSA,38,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Almese,Trovit,160 immobili in vendita a Almese - Trovit,46000,27000,1,NON_DETERMINATO,POSSIBILE_USCITA,2026-08-21T12:20:59.475157+00:00,2026-08-27T21:04:17.078975+00:00,prezzo rilevato | ribasso rilevato,,https://case.trovit.it/almese,NO,,,0,,ESEGUITA,,,,PAGINA_CATEGORIA_O_RICERCA
BASSA,38,COMMERCIALE_IMMOBILE,IMMOBILE,,ACQUISIZIONE / LOCAZIONE IMMOBILE COMMERCIALE,Grugliasco,Trovit,100 locale commerciales in vendita a Grugliasco - Trovit,,,0,NON_DETERMINATO,NEW,2026-09-01T23:36:27.691174+00:00,2026-09-01T23:36:27.691176+00:00,nuova rilevazione | commerciale immobile,,https://case.trovit.it/negozio-grugliasco,NO,,,0,,NON_ESEGUITA,,,,PAGINA_CATEGORIA_O_RICERCA
BASSA,35,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Bardonecchia,Wikicasa,Case in vendita a Bardonecchia - Wikicasa,65000,,0,NON_DETERMINATO,NEW,2026-09-01T18:58:42.119028+00:00,2026-09-01T18:58:42.119029+00:00,nuova rilevazione | prezzo rilevato,,https://www.wikicasa.it/vendita-case/bardonecchia/,NO,,,0,,ESEGUITA,,,,TITOLO_CATEGORIA_NON_OPERATIVO
BASSA,35,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Caselette,Mercato residenziale,"Case in vendita a Caselette, Valli Susa, Sangone",350000,,0,NON_DETERMINATO,NEW,2026-09-01T18:58:42.119455+00:00,2026-09-01T18:58:42.119457+00:00,nuova rilevazione | prezzo rilevato,,https://caseinvenditainaffitto.it/case-in-vendita/caselette-valli-susa-sangone,NO,,,0,,ESEGUITA,"Corso Susa, Caselette","Corso Susa, Caselette 156",VAI IN ZONA,TITOLO_CATEGORIA_NON_OPERATIVO
BASSA,35,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Collegno,Trovit,63 immobili villa in vendita a Collegno - Trovit,81000,,0,NON_DETERMINATO,NEW,2026-09-01T18:58:42.119830+00:00,2026-09-01T18:58:42.119832+00:00,nuova rilevazione | prezzo rilevato,,https://case.trovit.it/villa-collegno,NO,,,0,,NON_ESEGUITA,,,,PAGINA_CATEGORIA_O_RICERCA
BASSA,35,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Mattie,Tipologie residenziali,Vendita Torino Mattie - 38 case in vendita in Torino de Nuroa.it,25000,,0,NON_DETERMINATO,NEW,2026-09-01T20:55:16.173181+00:00,2026-09-01T20:55:16.173182+00:00,nuova rilevazione | prezzo rilevato,,https://www.nuroa.it/vendita-immobili/vendita-torino-mattie,NO,,,0,,NON_ESEGUITA,,,,PAGINA_CATEGORIA_O_RICERCA
BASSA,32,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Rosta,Bakeca privati,Annunci di case in vendita a Rosta centro città - Bakeca,150000,,0,NON_DETERMINATO,POSSIBILE_USCITA,2026-08-21T12:20:59.475811+00:00,2026-08-23T17:16:38.787034+00:00,fonte/query orientata ai privati | prezzo rilevato,,https://torino.bakeca.it/annunci/vendita-case/luogo/rosta/,NO,,,0,,NON_ESEGUITA,,,,TITOLO_CATEGORIA_NON_OPERATIVO
BASSA,30,INDUSTRIALE_LOGISTICA,IMMOBILE,,ACQUISIZIONE CAPANNONE / MAGAZZINO,Alpignano,Capannoni logistica,Capannone Vendita Alpignano - 28 case in vendita in Alpignano de Nuroa.it,140000,,0,NON_DETERMINATO,TRACKED,2026-08-28T05:06:35.529823+00:00,2026-09-01T23:36:27.689971+00:00,prezzo rilevato | industriale logistica,,https://www.nuroa.it/vendita-immobili/capannone-vendita-alpignano,NO,,,0,,ESEGUITA,"Via Germain Sommeiller Piemonte, Torino Visualizza foto Capannone in vendita di","Via Germain Sommeiller Piemonte, Torino Visualizza foto Capannone in vendita di 180",VAI IN ZONA,PAGINA_CATEGORIA_O_RICERCA
BASSA,30,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Gravere,Nestoria,12.876 appartamenti in vendita a Via Gravere - Nestoria,,,0,NON_DETERMINATO,NEW,2026-09-01T20:55:16.173036+00:00,2026-09-01T20:55:16.173038+00:00,nuova rilevazione,,https://www.nestoria.it/appartamenti/vendita/via-gravere,NO,,,0,,NON_ESEGUITA,,,,TITOLO_CATEGORIA_NON_OPERATIVO
BASSA,30,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Coazze,Mercato residenziale,"Case in vendita a Coazze, Valli Susa, Sangone",,,0,NON_DETERMINATO,NEW,2026-09-01T23:36:27.690725+00:00,2026-09-01T23:36:27.690726+00:00,nuova rilevazione,,https://caseinvenditainaffitto.it/case-in-vendita/coazze-valli-susa-sangone,NO,,,0,,NON_ESEGUITA,,,,TITOLO_CATEGORIA_NON_OPERATIVO
BASSA,28,UFFICIO_DIREZIONALE,IMMOBILE,,ACQUISIZIONE / LOCAZIONE UFFICIO,Trana,Trovit,12 locale commerciales in vendita a Trana - Trovit,33000,,0,NON_DETERMINATO,POSSIBILE_USCITA,2026-08-27T21:04:17.081116+00:00,2026-08-28T10:58:40.672070+00:00,prezzo rilevato | ufficio direzionale,,https://case.trovit.it/negozio-trana,NO,,,0,,NON_ESEGUITA,,,,PAGINA_CATEGORIA_O_RICERCA
BASSA,28,UFFICIO_DIREZIONALE,IMMOBILE,,ACQUISIZIONE / LOCAZIONE UFFICIO,Susa,Trovit,10 locale commerciales in vendita a Susa - Trovit,35000,,0,NON_DETERMINATO,TRACKED,2026-08-28T05:06:35.531441+00:00,2026-09-01T23:36:27.692183+00:00,prezzo rilevato | ufficio direzionale,,https://case.trovit.it/negozio-susa,NO,,,0,,NON_ESEGUITA,,,,PAGINA_CATEGORIA_O_RICERCA
BASSA,27,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Bardonecchia,Subito privati,Bardonecchia - Vendita case Piemonte - Subito.it,,,0,NON_DETERMINATO,TRACKED,2026-08-21T12:20:59.475284+00:00,2026-09-01T23:36:27.690172+00:00,fonte/query orientata ai privati,,https://www.subito.it/annunci-piemonte/vendita/immobili/?q=bardonecchia,NO,,,0,,ESEGUITA,,,,PAGINA_CATEGORIA_O_RICERCA
BASSA,27,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Bardonecchia,Bakeca privati,Annunci di case in vendita a Bardonecchia centro città,,,0,NON_DETERMINATO,POSSIBILE_USCITA,2026-08-21T12:20:59.475291+00:00,2026-08-23T09:11:13.222356+00:00,fonte/query orientata ai privati,,https://torino.bakeca.it/annunci/vendita-case/luogo/Bardonecchia/,NO,,,0,,ESEGUITA,,,,TITOLO_CATEGORIA_NON_OPERATIVO
BASSA,27,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Bruzolo,Subito privati,Case in vendita Bruzolo - Immobili - Subito.it,,,0,NON_DETERMINATO,POSSIBILE_USCITA,2026-08-21T12:20:59.475325+00:00,2026-08-27T21:04:17.079528+00:00,fonte/query orientata ai privati,,https://www.subito.it/annunci-piemonte/vendita/immobili/torino/bruzolo/,NO,,,0,,ESEGUITA,,,,PAGINA_CATEGORIA_O_RICERCA
BASSA,27,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Bussoleno,Subito privati,Case in vendita Bussoleno - Immobili - Subito.it,,,0,NON_DETERMINATO,RELISTED,2026-08-21T12:20:59.475335+00:00,2026-09-01T23:36:27.690357+00:00,fonte/query orientata ai privati,,https://www.subito.it/annunci-piemonte/vendita/immobili/torino/bussoleno/,NO,,,0,,ESEGUITA,,,,PAGINA_CATEGORIA_O_RICERCA
BASSA,27,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Buttigliera Alta,Subito privati,Case in vendita Buttigliera Alta - Immobili - Subito.it,,,0,NON_DETERMINATO,TRACKED,2026-08-21T12:20:59.475356+00:00,2026-09-01T23:36:27.690427+00:00,fonte/query orientata ai privati,,https://www.subito.it/annunci-piemonte/vendita/immobili/torino/buttigliera-alta/,NO,,,0,,ESEGUITA,,,,PAGINA_CATEGORIA_O_RICERCA
BASSA,27,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Caprie,Subito privati,Case in vendita Caprie - Immobili - Subito.it,,,0,NON_DETERMINATO,POSSIBILE_USCITA,2026-08-21T12:20:59.475387+00:00,2026-08-27T21:04:17.079635+00:00,fonte/query orientata ai privati,,https://www.subito.it/annunci-piemonte/vendita/immobili/torino/caprie/,NO,,,0,,ESEGUITA,,,,PAGINA_CATEGORIA_O_RICERCA
BASSA,27,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Caselette,Subito privati,Case in vendita Caselette - Immobili - Subito.it,,,0,NON_DETERMINATO,TRACKED,2026-08-21T12:20:59.475408+00:00,2026-09-01T23:36:27.690519+00:00,fonte/query orientata ai privati,,https://www.subito.it/annunci-piemonte/vendita/immobili/torino/caselette/,NO,,,0,,ESEGUITA,,,,PAGINA_CATEGORIA_O_RICERCA
BASSA,27,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Chianocco,Subito privati,Case in vendita Chianocco - Immobili - Subito.it,,,0,NON_DETERMINATO,TRACKED,2026-08-21T12:20:59.475423+00:00,2026-09-01T23:36:27.690564+00:00,fonte/query orientata ai privati,,https://www.subito.it/annunci-piemonte/vendita/immobili/torino/chianocco/,NO,,,0,,ESEGUITA,,,,PAGINA_CATEGORIA_O_RICERCA
BASSA,27,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Chiusa di San Michele,Subito privati,Case in vendita Chiusa di San Michele - Immobili - Subito.it,,,0,NON_DETERMINATO,TRACKED,2026-08-21T12:20:59.475446+00:00,2026-09-01T23:36:27.690648+00:00,fonte/query orientata ai privati,,https://www.subito.it/annunci-piemonte/vendita/immobili/torino/chiusa-di-san-michele/,NO,,,0,,ESEGUITA,,,,PAGINA_CATEGORIA_O_RICERCA
BASSA,27,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Coazze,Subito privati,Case in vendita Coazze - Immobili - Subito.it,,,0,NON_DETERMINATO,TRACKED,2026-08-21T12:20:59.475481+00:00,2026-09-01T23:36:27.690744+00:00,fonte/query orientata ai privati,,https://www.subito.it/annunci-piemonte/vendita/immobili/torino/coazze/,NO,,,0,,ESEGUITA,,,,PAGINA_CATEGORIA_O_RICERCA
BASSA,27,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Giaglione,Subito privati,Case in vendita Giaglione - Immobili - Subito.it,,,0,NON_DETERMINATO,POSSIBILE_USCITA,2026-08-21T12:20:59.475534+00:00,2026-08-28T10:58:40.670775+00:00,fonte/query orientata ai privati,,https://www.subito.it/annunci-piemonte/vendita/immobili/torino/giaglione/,NO,,,0,,ESEGUITA,,,,PAGINA_CATEGORIA_O_RICERCA
BASSA,27,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Gravere,Subito privati,Case in vendita Gravere - Immobili - Subito.it,,,0,NON_DETERMINATO,POSSIBILE_USCITA,2026-08-21T12:20:59.475569+00:00,2026-08-28T10:58:40.670898+00:00,fonte/query orientata ai privati,,https://www.subito.it/annunci-piemonte/vendita/immobili/torino/gravere/,NO,,,0,,ESEGUITA,,,,PAGINA_CATEGORIA_O_RICERCA
BASSA,27,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Mattie,Subito privati,Case in vendita Mattie - Immobili - Subito.it,,,0,NON_DETERMINATO,TRACKED,2026-08-21T12:20:59.475590+00:00,2026-09-01T23:36:27.691243+00:00,fonte/query orientata ai privati,,https://www.subito.it/annunci-piemonte/vendita/immobili/torino/mattie/,NO,,,0,,ESEGUITA,,,,PAGINA_CATEGORIA_O_RICERCA
BASSA,27,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Meana di Susa,Subito privati,Case in vendita Meana di Susa - Immobili - Subito.it,,,0,NON_DETERMINATO,TRACKED,2026-08-21T12:20:59.475614+00:00,2026-09-01T20:55:16.173228+00:00,fonte/query orientata ai privati,,https://www.subito.it/annunci-piemonte/vendita/immobili/torino/meana-di-susa/,NO,,,0,,ESEGUITA,,,,PAGINA_CATEGORIA_O_RICERCA
BASSA,27,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Mompantero,Subito privati,Case in vendita Mompantero - Immobili - Subito.it,,,0,NON_DETERMINATO,POSSIBILE_USCITA,2026-08-21T12:20:59.475624+00:00,2026-08-23T17:16:38.786959+00:00,fonte/query orientata ai privati,,https://www.subito.it/annunci-piemonte/vendita/immobili/torino/mompantero/,NO,,,0,,ESEGUITA,,,,PAGINA_CATEGORIA_O_RICERCA
BASSA,27,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Oulx,Bakeca privati,Annunci di case in vendita a Oulx centro città - Bakeca,,,0,NON_DETERMINATO,POSSIBILE_USCITA,2026-08-21T12:20:59.475655+00:00,2026-08-23T17:16:38.786978+00:00,fonte/query orientata ai privati,,https://torino.bakeca.it/annunci/vendita-case/luogo/oulx/,NO,,,0,,ESEGUITA,,,,TITOLO_CATEGORIA_NON_OPERATIVO
BASSA,27,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Pianezza,Subito privati,Pianezza - Vendita case Piemonte - Subito.it,,,0,NON_DETERMINATO,TRACKED,2026-08-21T12:20:59.475681+00:00,2026-09-01T23:36:27.691405+00:00,fonte/query orientata ai privati,,https://www.subito.it/annunci-piemonte/vendita/immobili/?q=pianezza,NO,,,0,,NON_ESEGUITA,,,,PAGINA_CATEGORIA_O_RICERCA
BASSA,27,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Reano,Subito privati,Case in vendita Reano - Immobili - Subito.it,,,0,NON_DETERMINATO,TRACKED,2026-08-21T12:20:59.475775+00:00,2026-09-01T23:36:27.691509+00:00,fonte/query orientata ai privati,,https://www.subito.it/annunci-piemonte/vendita/immobili/torino/reano/,NO,,,0,,ESEGUITA,,,,PAGINA_CATEGORIA_O_RICERCA
BASSA,27,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Rubiana,Subito privati,Case in vendita Rubiana - Immobili - Subito.it,,,0,NON_DETERMINATO,TRACKED,2026-08-21T12:20:59.475827+00:00,2026-09-01T23:36:27.691751+00:00,fonte/query orientata ai privati,,https://www.subito.it/annunci-piemonte/vendita/immobili/torino/rubiana/,NO,,,0,,ESEGUITA,,,,PAGINA_CATEGORIA_O_RICERCA
BASSA,27,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,San Giorio,Subito privati,Case in vendita San Giorio di Susa - Immobili - Subito.it,,,0,NON_DETERMINATO,TRACKED,2026-08-21T12:20:59.475844+00:00,2026-09-01T23:36:27.691884+00:00,fonte/query orientata ai privati,,https://www.subito.it/annunci-piemonte/vendita/immobili/torino/san-giorio-di-susa/,NO,,,0,,NON_ESEGUITA,,,,PAGINA_CATEGORIA_O_RICERCA
BASSA,27,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Sangano,Subito privati,Case in vendita Sangano - Immobili - Subito.it,,,0,NON_DETERMINATO,TRACKED,2026-08-21T12:20:59.475857+00:00,2026-09-01T23:36:27.692006+00:00,fonte/query orientata ai privati,,https://www.subito.it/annunci-piemonte/vendita/immobili/torino/sangano/,NO,,,0,,NON_ESEGUITA,,,,PAGINA_CATEGORIA_O_RICERCA
BASSA,27,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Val della Torre,Subito privati,Case in vendita Val della Torre - Immobili - Subito.it,,,0,NON_DETERMINATO,TRACKED,2026-08-21T12:20:59.475939+00:00,2026-09-01T23:36:27.692293+00:00,fonte/query orientata ai privati,,https://www.subito.it/annunci-piemonte/vendita/immobili/torino/val-della-torre/,NO,,,0,,NON_ESEGUITA,,,,PAGINA_CATEGORIA_O_RICERCA
BASSA,27,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Valgioie,Subito privati,Case in vendita Valgioie - Immobili - Subito.it,,,0,NON_DETERMINATO,TRACKED,2026-08-21T12:20:59.475958+00:00,2026-09-01T23:36:27.692326+00:00,fonte/query orientata ai privati,,https://www.subito.it/annunci-piemonte/vendita/immobili/torino/valgioie/,NO,,,0,,NON_ESEGUITA,,,,PAGINA_CATEGORIA_O_RICERCA
BASSA,27,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Villar Dora,Subito privati,Case in vendita Villar Dora - Immobili - Subito.it,,,0,NON_DETERMINATO,TRACKED,2026-08-21T12:20:59.475968+00:00,2026-09-01T23:36:27.692362+00:00,fonte/query orientata ai privati,,https://www.subito.it/annunci-piemonte/vendita/immobili/torino/villar-dora/,NO,,,0,,NON_ESEGUITA,,,,PAGINA_CATEGORIA_O_RICERCA
BASSA,27,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Villar Focchiardo,Subito privati,Case in vendita Villar Focchiardo - Immobili - Subito.it,,,0,NON_DETERMINATO,TRACKED,2026-08-21T12:20:59.475988+00:00,2026-09-01T23:36:27.692398+00:00,fonte/query orientata ai privati,,https://www.subito.it/annunci-piemonte/vendita/immobili/torino/villar-focchiardo/,NO,,,0,,NON_ESEGUITA,,,,PAGINA_CATEGORIA_O_RICERCA
BASSA,27,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Villarbasse,Subito privati,Case in vendita Villarbasse - Immobili - Subito.it,,,0,NON_DETERMINATO,POSSIBILE_USCITA,2026-08-21T12:20:59.476020+00:00,2026-08-28T05:06:35.531747+00:00,fonte/query orientata ai privati,,https://www.subito.it/annunci-piemonte/vendita/immobili/torino/villarbasse/,NO,,,0,,NON_ESEGUITA,,,,PAGINA_CATEGORIA_O_RICERCA
BASSA,27,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Rivoli,Bakeca privati,Annunci di case in vendita a Rivoli centro città - Bakeca,,,0,NON_DETERMINATO,POSSIBILE_USCITA,2026-08-22T17:17:15.502735+00:00,2026-08-23T17:16:38.787008+00:00,fonte/query orientata ai privati,,https://torino.bakeca.it/annunci/vendita-case/luogo/Rivoli/,NO,,,0,,ESEGUITA,,,,TITOLO_CATEGORIA_NON_OPERATIVO
BASSA,27,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Rivoli,Subito privati,Rivoli - Vendita case - Subito.it,,,0,NON_DETERMINATO,TRACKED,2026-08-22T17:17:15.502745+00:00,2026-09-01T18:58:42.120842+00:00,fonte/query orientata ai privati,,https://www.subito.it/annunci-italia/vendita/immobili/?q=rivoli,NO,,,0,,ESEGUITA,,,,PAGINA_CATEGORIA_O_RICERCA
BASSA,27,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Rosta,Subito privati,Case in vendita Rosta - Immobili - Subito.it,,,0,NON_DETERMINATO,POSSIBILE_USCITA,2026-08-22T17:17:15.502765+00:00,2026-08-28T05:06:35.531131+00:00,fonte/query orientata ai privati,,https://www.subito.it/annunci-piemonte/vendita/immobili/torino/rosta/,NO,,,0,,ESEGUITA,,,,PAGINA_CATEGORIA_O_RICERCA
BASSA,27,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Sant'Antonino di Susa,Subito privati,Case in vendita Sant'Antonino di Susa - Immobili - Subito.it,,,0,NON_DETERMINATO,TRACKED,2026-08-22T17:17:15.502823+00:00,2026-09-01T23:36:27.692088+00:00,fonte/query orientata ai privati,,https://www.subito.it/annunci-piemonte/vendita/immobili/torino/sant-antonino-di-susa/,NO,,,0,,NON_ESEGUITA,,,,PAGINA_CATEGORIA_O_RICERCA
BASSA,27,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Susa,Subito privati,Case in vendita Susa - Immobili - Subito.it,,,0,NON_DETERMINATO,RELISTED,2026-08-22T17:17:15.502847+00:00,2026-09-01T20:55:16.174261+00:00,fonte/query orientata ai privati,,https://www.subito.it/annunci-piemonte/vendita/immobili/torino/susa/,NO,,,0,,NON_ESEGUITA,,,,PAGINA_CATEGORIA_O_RICERCA
BASSA,27,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Bardonecchia,Subito privati,Case in vendita Bardonecchia - Immobili - Subito.it,,,0,NON_DETERMINATO,POSSIBILE_USCITA,2026-08-23T09:11:13.222362+00:00,2026-08-23T09:11:13.222364+00:00,fonte/query orientata ai privati,,https://www.subito.it/annunci-piemonte/vendita/immobili/torino/bardonecchia/,NO,,,0,,ESEGUITA,,,,PAGINA_CATEGORIA_O_RICERCA
