PRIORITA,SCORE,TIPO_OPPORTUNITA,TARGET,FASE_PROGETTO,OBIETTIVO_COMMERCIALE,COMUNE,FONTE,TITOLO,PREZZO,PREZZO_PRECEDENTE,RIBASSI,INDIZIO_INSERZIONISTA,STATO,PRIMA_RILEVAZIONE,ULTIMO_CONTROLLO,MOTIVI,PDF_DA_VERIFICARE,URL
MEDIA,48,INDUSTRIALE_LOGISTICA,IMMOBILE,,ACQUISIZIONE CAPANNONE / MAGAZZINO,Buttigliera Alta,Subito privati,Tecnocasa - INDUSTRIALE PROVINCIA TORINO OVEST sas,109000,230000,1,INDIZIO_AGENZIA,USCITO_MERCATO,2026-09-08T06:35:04.157072+00:00,2026-09-10T05:58:05.660172+00:00,fonte/query orientata ai privati | indizio agenzia | prezzo rilevato | ribasso rilevato | industriale logistica,,https://impresapiu.subito.it/shops/46868-tecnocasa-industriale-provincia-torino-ovest-sas
MEDIA,48,INDUSTRIALE_LOGISTICA,IMMOBILE,,ACQUISIZIONE CAPANNONE / MAGAZZINO,Beinasco,Immobiliare.it,"Capannone all'asta via Aosta 16/A, Beinasco - Immobiliare.it",499990,500000,1,NON_DETERMINATO,RELISTED,2026-09-17T16:48:02.646986+00:00,2026-09-22T01:45:50.161303+00:00,prezzo rilevato | ribasso rilevato | industriale logistica,,https://www.immobiliare.it/annunci/132363946/
MEDIA,46,COMMERCIALE_IMMOBILE,IMMOBILE,,ACQUISIZIONE / LOCAZIONE IMMOBILE COMMERCIALE,Beinasco,Commerciale negozi/locali,Locale Commerciale Beinasco - 82 locali comerciali in vendita in ...,350000,1350000,1,NON_DETERMINATO,USCITO_MERCATO,2026-09-10T05:58:05.659767+00:00,2026-09-19T06:11:00.694705+00:00,prezzo rilevato | ribasso rilevato | commerciale immobile,,https://www.nuroa.it/vendita-immobili/locale-commerciale-beinasco
MEDIA,45,INDUSTRIALE_LOGISTICA,IMMOBILE,,ACQUISIZIONE CAPANNONE / MAGAZZINO,La Cassa,Trovit,15 capannones in vendita a La Cassa - Trovit,21950,,0,NON_DETERMINATO,NEW,2026-09-22T07:44:42.106074+00:00,2026-09-22T07:44:42.106076+00:00,nuova rilevazione | prezzo rilevato | industriale logistica,,https://case.trovit.it/capannone-cassa
BASSA,42,INDUSTRIALE_LOGISTICA,IMMOBILE,,ACQUISIZIONE CAPANNONE / MAGAZZINO,Giaglione,Bakeca privati,Vendita terreni e rustici a Torino Settembre 2026 su Bakeca,10000,,0,NON_DETERMINATO,USCITO_MERCATO,2026-09-01T18:58:42.120149+00:00,2026-09-04T00:12:37.946692+00:00,fonte/query orientata ai privati | prezzo rilevato | industriale logistica,,https://torino.bakeca.it/annunci/terreni-rustici/contrattotipo/vendita/
BASSA,42,INDUSTRIALE_LOGISTICA,IMMOBILE,,ACQUISIZIONE CAPANNONE / MAGAZZINO,Collegno,Facebook Marketplace,Vendita magazzino 100mq - Property Rentals - Collegno - Facebook,50000,,0,NON_DETERMINATO,USCITO_MERCATO,2026-09-11T23:19:47.988956+00:00,2026-09-15T13:33:03.393677+00:00,fonte/query orientata ai privati | prezzo rilevato | industriale logistica,,https://www.facebook.com/marketplace/item/1301545842136799/
BASSA,42,INDUSTRIALE_LOGISTICA,IMMOBILE,,ACQUISIZIONE CAPANNONE / MAGAZZINO,Pianezza,Bakeca privati,Vendita capannoni e magazzini a Torino - Bakeca,1350000,,0,NON_DETERMINATO,USCITO_MERCATO,2026-09-14T18:41:54.044283+00:00,2026-09-17T23:05:00.276070+00:00,fonte/query orientata ai privati | prezzo rilevato | industriale logistica,,https://torino.bakeca.it/annunci/capannoni-magazzini/contrattotipo/vendita/
BASSA,42,INDUSTRIALE_LOGISTICA,IMMOBILE,,ACQUISIZIONE CAPANNONE / MAGAZZINO,Pianezza,Bakeca privati,Affitto e vendita capannone in Italia Settembre 2026 su Bakeca,1350000,,0,NON_DETERMINATO,USCITO_MERCATO,2026-09-14T22:36:38.494228+00:00,2026-09-14T22:36:38.494230+00:00,fonte/query orientata ai privati | prezzo rilevato | industriale logistica,,https://www.bakeca.it/annunci/capannoni-magazzini/tipofiltrocapannoni/capannone/
BASSA,40,COMMERCIALE_IMMOBILE,IMMOBILE,,ACQUISIZIONE / LOCAZIONE IMMOBILE COMMERCIALE,Beinasco,Bakeca privati,Vendita locali commerciali da privati a Torino - Bakeca,12115000,,0,NON_DETERMINATO,USCITO_MERCATO,2026-09-17T06:08:55.031073+00:00,2026-09-17T06:08:55.031074+00:00,fonte/query orientata ai privati | prezzo rilevato | commerciale immobile,,https://torino.bakeca.it/annunci/locali-attivita-commerciali/contrattotipo/vendita/inserzionistacase/privato/
BASSA,40,UFFICIO_DIREZIONALE,IMMOBILE,,ACQUISIZIONE / LOCAZIONE UFFICIO,Villar Focchiardo,TrovaCasa privati,"Appartamento in affitto a Torino via Villar Focchiardo, 12",15570,,0,NON_DETERMINATO,TRACKED,2026-09-21T01:16:25.020719+00:00,2026-09-22T13:28:47.918034+00:00,fonte/query orientata ai privati | prezzo rilevato | ufficio direzionale,,https://www.trovacasa.it/annunci/to-tc-43345-73023387
BASSA,40,INDUSTRIALE_LOGISTICA,IMMOBILE,,ACQUISIZIONE CAPANNONE / MAGAZZINO,Grugliasco,Immobiliare.it,"Capannone via Rivalta 49, Grugliasco, Rif. 127521008 - Immobiliare.it",,,0,NON_DETERMINATO,NEW,2026-09-22T13:28:47.916726+00:00,2026-09-22T13:28:47.916728+00:00,nuova rilevazione | industriale logistica,,https://www.immobiliare.it/annunci/127521008/
BASSA,40,INDUSTRIALE_LOGISTICA,IMMOBILE,,ACQUISIZIONE CAPANNONE / MAGAZZINO,Rivoli,Immobiliare.it,"Capannone via Carlo Ferrero 110, Rivoli, Rif. 130609398 - Immobiliare.it",,,0,NON_DETERMINATO,NEW,2026-09-22T13:28:47.917136+00:00,2026-09-22T13:28:47.917137+00:00,nuova rilevazione | industriale logistica,,https://www.immobiliare.it/annunci/130609398/
BASSA,39,IMPRESA_EDILE_PROGETTO,IMPRESA/AZIENDA,,"CONTATTA IMPRESA: CANTIERE, SOCIAL, LEAD GEN, SITO, VENDITE",Bruino,PDF Albo Pretorio edilizia,PDF Istituto Comprensivo BRUINO,,,0,NON_DETERMINATO,USCITO_MERCATO,2026-09-08T06:35:04.156926+00:00,2026-09-10T15:11:09.214131+00:00,impresa edile progetto | atto/PDF pubblico da verificare,https://www.icbruino.edu.it/wp-content/uploads/2025/12/del_n.-1_2024-del-C.d-I.-del-10-12-2024-revisione-criteri-iscrizioni.pdf,https://www.icbruino.edu.it/wp-content/uploads/2025/12/del_n.-1_2024-del-C.d-I.-del-10-12-2024-revisione-criteri-iscrizioni.pdf
BASSA,38,COMMERCIALE_IMMOBILE,IMMOBILE,,ACQUISIZIONE / LOCAZIONE IMMOBILE COMMERCIALE,Sant'Ambrogio di Torino,Commerciale negozi/locali,24 Locali commerciali in affitto a Avigliana - Mitula Case,,,0,NON_DETERMINATO,NEW,2026-09-07T00:44:29.376807+00:00,2026-09-07T00:44:29.376809+00:00,nuova rilevazione | commerciale immobile,,https://immobiliare.mitula.it/affitto-locale-commerciale-avigliana
BASSA,38,UFFICIO_DIREZIONALE,IMMOBILE,,ACQUISIZIONE / LOCAZIONE UFFICIO,Villar Dora,Wikicasa,"Appartamento in affitto, Villar Dora con terrazzo, 70 mq • Wikicasa",,,0,NON_DETERMINATO,NEW,2026-09-22T13:28:47.917995+00:00,2026-09-22T13:28:47.917996+00:00,nuova rilevazione | ufficio direzionale,,https://www.wikicasa.it/annuncio/30833151
BASSA,37,INDUSTRIALE_LOGISTICA,IMMOBILE,AUTORIZZATO_PROGRAMMATO,ACQUISIZIONE CAPANNONE / MAGAZZINO,Bussoleno,Capannoni logistica,"Bussoleno-Complesso immobiliare con varie destinazioni, ottima ...",,,0,NON_DETERMINATO,USCITO_MERCATO,2026-08-28T05:06:35.530159+00:00,2026-09-04T19:20:00.003475+00:00,industriale logistica | progetto autorizzato,,https://www.ladimoraimmobiliare.com/complesso-immobiliare-con-varie-destinazioni-ottima-opportunita-di-investimento/
BASSA,37,INDUSTRIALE_LOGISTICA,IMMOBILE,,ACQUISIZIONE CAPANNONE / MAGAZZINO,Caprie,TrovaCasa privati,"Capannone in affitto a Caprie via Roma, 12 - TrovaCasa",,,0,NON_DETERMINATO,USCITO_MERCATO,2026-09-01T18:58:42.119401+00:00,2026-09-04T07:52:28.839074+00:00,fonte/query orientata ai privati | industriale logistica,,https://www.trovacasa.it/annunci/to-tc-95641-72900561
BASSA,37,INDUSTRIALE_LOGISTICA,IMMOBILE,,ACQUISIZIONE CAPANNONE / MAGAZZINO,Collegno,Facebook Marketplace,Magazzino - Cantina - Property Rentals - Collegno - Facebook,,,0,NON_DETERMINATO,USCITO_MERCATO,2026-09-01T23:36:27.690842+00:00,2026-09-06T19:19:39.864562+00:00,fonte/query orientata ai privati | industriale logistica,,https://www.facebook.com/marketplace/item/862434829880128/
BASSA,37,INDUSTRIALE_LOGISTICA,IMMOBILE,,ACQUISIZIONE CAPANNONE / MAGAZZINO,Giaveno,TrovaCasa privati,"Capannone in affitto a Giaveno via Caduti sul Lavoro, 18",,,0,NON_DETERMINATO,USCITO_MERCATO,2026-09-04T00:12:37.946725+00:00,2026-09-04T02:03:54.138272+00:00,fonte/query orientata ai privati | industriale logistica,,https://www.trovacasa.it/annunci/to-tc-48624-72879619
BASSA,37,INDUSTRIALE_LOGISTICA,IMMOBILE,,ACQUISIZIONE CAPANNONE / MAGAZZINO,Exilles,Subito privati,Subito - CASE IN PARELLA sas - BOX A TORINO - Garage e box In affitto a ...,,,0,NON_DETERMINATO,USCITO_MERCATO,2026-09-04T16:00:05.401660+00:00,2026-09-04T22:26:36.992052+00:00,fonte/query orientata ai privati | industriale logistica,,https://www.subito.it/garage-e-box/box-a-torino-torino-659433587.htm
BASSA,37,INDUSTRIALE_LOGISTICA,IMMOBILE,,ACQUISIZIONE CAPANNONE / MAGAZZINO,Grugliasco,Subito privati,STUDIO PIOL srl - CAPANNONE A GRUGLIASCO - Subito,,,0,NON_DETERMINATO,USCITO_MERCATO,2026-09-06T00:53:48.287135+00:00,2026-09-06T00:53:48.287137+00:00,fonte/query orientata ai privati | industriale logistica,,https://www.subito.it/uffici-locali-commerciali/capannone-a-grugliasco-torino-659433249.htm
BASSA,37,INDUSTRIALE_LOGISTICA,IMMOBILE,,ACQUISIZIONE CAPANNONE / MAGAZZINO,San Gillio,Subito privati,CAPANNONE A SAN GILLIO - Subito,,,0,NON_DETERMINATO,USCITO_MERCATO,2026-09-08T06:35:04.158983+00:00,2026-09-19T20:30:44.818476+00:00,fonte/query orientata ai privati | industriale logistica,,https://www.subito.it/uffici-locali-commerciali/capannone-a-san-gillio-torino-639437685.htm
BASSA,37,INDUSTRIALE_LOGISTICA,IMMOBILE,,ACQUISIZIONE CAPANNONE / MAGAZZINO,Rosta,Subito privati,Aste Florio - Immobile in asta di 703 m² a Rosta - Subito,,,0,NON_DETERMINATO,USCITO_MERCATO,2026-09-08T18:39:29.645455+00:00,2026-09-12T14:11:38.612747+00:00,fonte/query orientata ai privati | industriale logistica,,https://www.subito.it/uffici-locali-commerciali/immobile-in-asta-di-703-m%C2%B2-a-rosta-torino-659975897.htm
BASSA,37,INDUSTRIALE_LOGISTICA,IMMOBILE,,ACQUISIZIONE CAPANNONE / MAGAZZINO,Pianezza,Subito privati,Immobile in asta di 54 m² a Pianezza | Subito,,,0,NON_DETERMINATO,USCITO_MERCATO,2026-09-10T05:58:05.661640+00:00,2026-09-10T05:58:05.661642+00:00,fonte/query orientata ai privati | industriale logistica,,https://www.subito.it/uffici-locali-commerciali/immobile-in-asta-di-54-m%C2%B2-a-pianezza-torino-659978673.htm
BASSA,37,INDUSTRIALE_LOGISTICA,IMMOBILE,,ACQUISIZIONE CAPANNONE / MAGAZZINO,Buttigliera Alta,Subito privati,NEGOZIO A BUTTIGLIERA ALTA | Subito,,,0,NON_DETERMINATO,USCITO_MERCATO,2026-09-10T15:11:09.214241+00:00,2026-09-14T22:36:38.492979+00:00,fonte/query orientata ai privati | industriale logistica,,https://www.subito.it/uffici-locali-commerciali/negozio-a-buttigliera-alta-torino-659200253.htm
BASSA,37,INDUSTRIALE_LOGISTICA,IMMOBILE,,ACQUISIZIONE CAPANNONE / MAGAZZINO,Druento,Bakeca privati,Affitto e vendita capannoni e magazzini a Druento centro città - Bakeca,,,0,NON_DETERMINATO,USCITO_MERCATO,2026-09-12T10:35:02.923606+00:00,2026-09-16T22:13:22.797949+00:00,fonte/query orientata ai privati | industriale logistica,,https://torino.bakeca.it/annunci/capannoni-magazzini/luogo/druento/
BASSA,37,INDUSTRIALE_LOGISTICA,IMMOBILE,,ACQUISIZIONE CAPANNONE / MAGAZZINO,Pianezza,Bakeca privati,Vendita magazzino a Pianezza centro città Settembre 2026 su Bakeca,,,0,NON_DETERMINATO,USCITO_MERCATO,2026-09-14T12:27:12.113858+00:00,2026-09-14T12:27:12.113860+00:00,fonte/query orientata ai privati | industriale logistica,,https://torino.bakeca.it/annunci/capannoni-magazzini/luogo/pianezza/contrattotipo/vendita/tipofiltrocapannoni/magazzino/
BASSA,37,INDUSTRIALE_LOGISTICA,IMMOBILE,,ACQUISIZIONE CAPANNONE / MAGAZZINO,Rubiana,TrovaCasa privati,"Villa in vendita a Rubiana strada del Boschetto, 13",,,0,NON_DETERMINATO,USCITO_MERCATO,2026-09-14T18:41:54.044699+00:00,2026-09-17T16:48:02.648565+00:00,fonte/query orientata ai privati | industriale logistica,,https://www.trovacasa.it/annunci/to-tc-86710-70574054
BASSA,35,COMMERCIALE_IMMOBILE,IMMOBILE,,ACQUISIZIONE / LOCAZIONE IMMOBILE COMMERCIALE,Collegno,Subito privati,Immobile di 148 m² con 5 locali a Collegno | Subito,,,0,NON_DETERMINATO,USCITO_MERCATO,2026-09-01T18:58:42.119842+00:00,2026-09-10T21:45:03.418807+00:00,fonte/query orientata ai privati | commerciale immobile,,https://www.subito.it/uffici-locali-commerciali/immobile-di-148-m%C2%B2-con-5-locali-a-collegno-torino-658721243.htm
BASSA,35,COMMERCIALE_IMMOBILE,IMMOBILE,,ACQUISIZIONE / LOCAZIONE IMMOBILE COMMERCIALE,Chiomonte,Subito privati,NEGOZIO A CHIOMONTE | Subito,,,0,NON_DETERMINATO,TRACKED,2026-09-02T07:11:25.325658+00:00,2026-09-07T00:44:29.375143+00:00,fonte/query orientata ai privati | commerciale immobile,,https://www.subito.it/uffici-locali-commerciali/negozio-a-chiomonte-torino-659200618.htm
BASSA,35,UFFICIO_DIREZIONALE,IMMOBILE,AUTORIZZATO_PROGRAMMATO,ACQUISIZIONE / LOCAZIONE UFFICIO,Susa,Uffici e direzionale,Albo Pretorio Digitale - Comune Di Susa,,,0,NON_DETERMINATO,RELISTED,2026-09-04T12:01:02.701666+00:00,2026-09-07T00:44:29.376943+00:00,ufficio direzionale | progetto autorizzato,,https://www.servizipubblicaamministrazione.it/servizi/saturnweb/Home.aspx?TipoG=3&CE=Ss090
BASSA,35,UFFICIO_DIREZIONALE,IMMOBILE,AUTORIZZATO_PROGRAMMATO,ACQUISIZIONE / LOCAZIONE UFFICIO,Givoletto,Uffici e direzionale,Albo Pretorio Digitale - Comune Di Givoletto,,,0,NON_DETERMINATO,TRACKED,2026-09-11T09:00:35.958111+00:00,2026-09-22T13:28:47.916601+00:00,ufficio direzionale | progetto autorizzato,,https://www.servizipubblicaamministrazione.it/servizi/saturnweb/Home.aspx?Ce=gvltt577
BASSA,35,UFFICIO_DIREZIONALE,IMMOBILE,AUTORIZZATO_PROGRAMMATO,ACQUISIZIONE / LOCAZIONE UFFICIO,Collegno,Uffici e direzionale,Commercio in sede fissa - Comune di Collegno,,,0,NON_DETERMINATO,TRACKED,2026-09-12T10:35:02.923330+00:00,2026-09-22T13:28:47.916077+00:00,ufficio direzionale | progetto autorizzato,,https://www.comune.collegno.to.it/servizio/commercio-in-sede-fissa/
BASSA,35,COMMERCIALE_IMMOBILE,IMMOBILE,,ACQUISIZIONE / LOCAZIONE IMMOBILE COMMERCIALE,Rivoli,Bakeca privati,Affitto e vendita locali commerciali a Rivoli centro città,,,0,NON_DETERMINATO,USCITO_MERCATO,2026-09-14T01:05:27.892312+00:00,2026-09-14T01:05:27.892313+00:00,fonte/query orientata ai privati | commerciale immobile,,https://torino.bakeca.it/annunci/locali-attivita-commerciali/luogo/rivoli/
BASSA,35,UFFICIO_DIREZIONALE,IMMOBILE,,ACQUISIZIONE / LOCAZIONE UFFICIO,Val della Torre,Subito privati,Villa o villino Val della Torre [1673VRG] | Subito,,,0,NON_DETERMINATO,POSSIBILE_USCITA,2026-09-21T06:16:22.538830+00:00,2026-09-21T06:16:22.538832+00:00,fonte/query orientata ai privati | ufficio direzionale,,https://www.subito.it/ville-singole-e-a-schiera/villa-o-villino-val-della-torre-1673vrg-torino-645954833.htm
BASSA,33,COMMERCIALE_IMMOBILE,IMMOBILE,PROGRAMMATO,ACQUISIZIONE / LOCAZIONE IMMOBILE COMMERCIALE,Rosta,Immobiliare.it,"Locale commerciale corso Moncenisio, Rosta, Rif. 121630696 - Immobiliare.it",,,0,NON_DETERMINATO,USCITO_MERCATO,2026-08-28T05:06:35.531137+00:00,2026-09-20T06:08:00.347286+00:00,commerciale immobile | progetto programmato,,https://www.immobiliare.it/annunci/121630696/
BASSA,33,INDUSTRIALE_LOGISTICA,IMMOBILE,NUOVA_COSTRUZIONE,ACQUISIZIONE CAPANNONE / MAGAZZINO,Druento,Capannoni logistica,Druento - 285 appartamenti in affito in Druento de Nuroa.it,,,0,NON_DETERMINATO,RELISTED,2026-09-08T06:35:04.157726+00:00,2026-09-22T07:44:42.105528+00:00,industriale logistica | nuova costruzione,,https://www.nuroa.it/affitto-case/druento
BASSA,33,INDUSTRIALE_LOGISTICA,IMMOBILE,NUOVA_COSTRUZIONE,ACQUISIZIONE CAPANNONE / MAGAZZINO,Druento,Capannoni logistica,Locale Commerciale Druento - 30 locali comerciali in affito in Druento ...,,,0,NON_DETERMINATO,TRACKED,2026-09-08T21:57:25.795498+00:00,2026-09-22T13:28:47.916297+00:00,industriale logistica | nuova costruzione,,https://www.nuroa.it/affitto-case/locale-commerciale-druento
BASSA,33,INDUSTRIALE_LOGISTICA,IMMOBILE,NUOVA_COSTRUZIONE,ACQUISIZIONE CAPANNONE / MAGAZZINO,Fiano,Capannoni logistica,LOGISTICA IN PROGETTAZIONE in Affitto - Fiano Romano - 7000.00 mq,,,0,NON_DETERMINATO,USCITO_MERCATO,2026-09-09T17:56:58.703380+00:00,2026-09-12T17:06:03.935444+00:00,industriale logistica | nuova costruzione,,https://arealogistica.it/it/area/2607-logistica-in-progettazione-affitto-fiano-romano/
BASSA,33,INDUSTRIALE_LOGISTICA,IMMOBILE,NUOVA_COSTRUZIONE,ACQUISIZIONE CAPANNONE / MAGAZZINO,Giaveno,Capannoni logistica,"Giaveno, in arrivo un nuovo parcheggio e un supermercato (con distributore)",,,0,NON_DETERMINATO,USCITO_MERCATO,2026-09-14T12:27:12.113416+00:00,2026-09-14T12:27:12.113417+00:00,industriale logistica | nuova costruzione,,https://www.lavalsusa.it/giaveno-in-arrivo-un-nuovo-parcheggio-e-un-supermercato-con-distributore/
BASSA,31,UFFICIO_DIREZIONALE,IMMOBILE,,ACQUISIZIONE / LOCAZIONE UFFICIO,Condove,Uffici e direzionale,162 Case in vendita a Condove - Mitula Case,,,0,NON_DETERMINATO,USCITO_MERCATO,2026-08-21T12:20:59.475529+00:00,2026-09-08T11:07:58.868404+00:00,ufficio direzionale | 30+ giorni monitorati,,https://immobiliare.mitula.it/casa-condove
BASSA,31,UFFICIO_DIREZIONALE,IMMOBILE,,ACQUISIZIONE / LOCAZIONE UFFICIO,Condove,Uffici e direzionale,Casa singola in vendita a Condove Cod. BELLAFUGERA,,,0,NON_DETERMINATO,POSSIBILE_USCITA,2026-08-22T17:17:15.502611+00:00,2026-09-21T12:37:01.289349+00:00,ufficio direzionale | 30+ giorni monitorati,,https://www.fcimmobiliare.it/i-672094-vendita-casa-singola-condove/
BASSA,30,INDUSTRIALE_LOGISTICA,IMMOBILE,,ACQUISIZIONE CAPANNONE / MAGAZZINO,San Didero,Capannoni logistica,Magazzino All'asta In Via Roma 34 - 10050 San Didero (TO),10500,,0,NON_DETERMINATO,USCITO_MERCATO,2026-08-27T21:04:17.080836+00:00,2026-09-02T16:09:34.325468+00:00,prezzo rilevato | industriale logistica,,https://www.immobiliallasta.it/immobili/torino/san-didero/ex8025918/magazzino-all-asta-in-via-roma-34-10050-san-didero-to
BASSA,30,INDUSTRIALE_LOGISTICA,IMMOBILE,,ACQUISIZIONE CAPANNONE / MAGAZZINO,Trana,Trovit,10 locale commerciales in vendita a Trana - Trovit,33000,,0,NON_DETERMINATO,TRACKED,2026-08-27T21:04:17.081116+00:00,2026-09-22T13:28:47.917737+00:00,prezzo rilevato | industriale logistica,,https://case.trovit.it/negozio-trana
BASSA,30,INDUSTRIALE_LOGISTICA,IMMOBILE,,ACQUISIZIONE CAPANNONE / MAGAZZINO,Caprie,Immobiliare.it,"Capannone via Roma 12, Caprie, Rif. 132000372 - Immobiliare.it",10000,,0,NON_DETERMINATO,POSSIBILE_USCITA,2026-09-01T18:58:42.119394+00:00,2026-09-21T18:48:49.171473+00:00,prezzo rilevato | industriale logistica,,https://www.immobiliare.it/annunci/132000372/
BASSA,30,INDUSTRIALE_LOGISTICA,IMMOBILE,,ACQUISIZIONE CAPANNONE / MAGAZZINO,Val della Torre,Immobiliare.it,"Capannone via Val della Torre 184, Alpignano, Rif. 127148161 ...",1800000,,0,NON_DETERMINATO,USCITO_MERCATO,2026-09-01T18:58:42.122044+00:00,2026-09-06T13:51:47.103627+00:00,prezzo rilevato | industriale logistica,,https://www.immobiliare.it/annunci/127148161/
BASSA,30,INDUSTRIALE_LOGISTICA,IMMOBILE,,ACQUISIZIONE CAPANNONE / MAGAZZINO,Val della Torre,Capannoni logistica,Garage Val Della Torre - 30 Garage in vendita in Val Della Torre de ...,24000,,0,NON_DETERMINATO,USCITO_MERCATO,2026-09-01T23:36:27.692306+00:00,2026-09-01T23:36:27.692307+00:00,prezzo rilevato | industriale logistica,,https://www.nuroa.it/vendita-immobili/garage-val-della-torre
